λ, нм	n	T	R   Б-SiOAlLi (сто нм)            751
589	1,4582	0,637066245	0,090085042
590	1,4582	0,63924338	0,090439465
591	1,4581	0,6413416	0,09086458
592	1,4581	0,643320537	0,091331877
593	1,4581	0,645316526	0,091963381
594	1,4580	0,647233461	0,092468539
595	1,4580	0,649062865	0,093010351
596	1,4580	0,650770232	0,093671735
597	1,4579	0,652595461	0,094357572
598	1,4579	0,654322356	0,095209097
599	1,4579	0,655983013	0,096029535
600	1,4579	0,657663195	0,096861507
601	1,4578	0,659210338	0,097779738
602	1,4578	0,660609859	0,098632838
603	1,4578	0,662095996	0,099593507
604	1,4577	0,663502771	0,100569962
605	1,4577	0,664892976	0,101553383
606	1,4577	0,666250249	0,102592199
607	1,4576	0,667453428	0,103675748
608	1,4576	0,668641686	0,104759049
609	1,4576	0,66988186	0,105896295
610	1,4575	0,670978246	0,107071013
611	1,4575	0,672081837	0,108246069
612	1,4575	0,673102652	0,109477692
613	1,4574	0,674126929	0,110765577
614	1,4574	0,675128746	0,112101118
615	1,4574	0,676013378	0,113359615
616	1,4574	0,676901608	0,114722878
617	1,4573	0,677742244	0,116084203
618	1,4573	0,678567198	0,117489107
619	1,4573	0,679262236	0,118870816
620	1,4572	0,679943701	0,120405745
621	1,4572	0,680645015	0,121821583
622	1,4572	0,681273375	0,123240803
623	1,4572	0,681870394	0,12469283
624	1,4571	0,682426389	0,126166332
625	1,4571	0,682942042	0,127749589
626	1,4571	0,683489937	0,129277388
627	1,4570	0,683929301	0,13079358
628	1,4570	0,684373748	0,132368976
629	1,4570	0,68476088	0,133978794
630	1,4570	0,685114052	0,135564013
631	1,4569	0,685395132	0,137158418
632	1,4569	0,685727239	0,138789159
633	1,4569	0,685941162	0,140447377
634	1,4569	0,686221249	0,142067883
635	1,4568	0,68642856	0,143712533
636	1,4568	0,686622738	0,145462892
637	1,4568	0,686749292	0,147148846
638	1,4568	0,686858047	0,148859829
639	1,4567	0,687006868	0,150453185
640	1,4567	0,687063088	0,152190759
641	1,4567	0,687139593	0,153961682
642	1,4567	0,687071969	0,155615884
643	1,4566	0,687103763	0,157223509
644	1,4566	0,687048907	0,158993655
645	1,4566	0,686996117	0,160771723
646	1,4566	0,686912084	0,162811895
647	1,4565	0,686905753	0,164568531
648	1,4565	0,686717133	0,166225991
649	1,4565	0,686625091	0,16793145
650	1,4565	0,686479115	0,169643362
651	1,4564	0,686287995	0,171360818
652	1,4564	0,686065249	0,173108034
653	1,4564	0,685924751	0,174815176
654	1,4564	0,685677712	0,176588154
655	1,4563	0,685468371	0,178354077
656	1,4563	0,685089121	0,180072099
657	1,4563	0,6847602	0,181842718
658	1,4563	0,684470585	0,183575073
659	1,4562	0,684204878	0,18527376
660	1,4562	0,683825406	0,186977263
661	1,4562	0,683377837	0,188758424
662	1,4562	0,683030144	0,190518312
663	1,4561	0,6826099	0,192205312
664	1,4561	0,682194832	0,193883066
665	1,4561	0,681859434	0,195622844
666	1,4561	0,681441567	0,197296148
667	1,4561	0,681013923	0,198946248
668	1,4560	0,680553746	0,200647611
669	1,4560	0,68008975	0,202227859
670	1,4560	0,67965833	0,203951539
671	1,4560	0,679212418	0,20562097
672	1,4559	0,678793322	0,207424267
673	1,4559	0,678315701	0,208997765
674	1,4559	0,677760002	0,210624551
675	1,4559	0,677277751	0,212325836
676	1,4558	0,67673658	0,213864291
677	1,4558	0,676194668	0,215435969
678	1,4558	0,675781192	0,217147782
679	1,4558	0,675274308	0,218746047
680	1,4558	0,67469734	0,220349442
681	1,4557	0,674163682	0,221996204
682	1,4557	0,673669152	0,223551197
683	1,4557	0,672982304	0,22518949
684	1,4557	0,672573368	0,22671096
685	1,4557	0,672134177	0,228290572
686	1,4556	0,671489358	0,229781396
687	1,4556	0,670901111	0,231442674
688	1,4556	0,67035346	0,232848647
689	1,4556	0,669662742	0,234369963
690	1,4556	0,669080922	0,235995636
691	1,4555	0,668604745	0,236021362
692	1,4555	0,668093429	0,237406134
693	1,4555	0,667440181	0,238720847
694	1,4555	0,66679204	0,240124973
695	1,4554	0,666060104	0,24148991
696	1,4554	0,665473573	0,242774549
697	1,4554	0,665022891	0,244155883
698	1,4554	0,664435294	0,245553584
699	1,4554	0,663649016	0,247002233
700	1,4553	0,663053152	0,248417022
701	1,4553	0,662828668	0,249166771
702	1,4553	0,662294591	0,250596685
703	1,4553	0,661703581	0,252005979
704	1,4553	0,661062424	0,253493635
705	1,4552	0,660537776	0,254921441
706	1,4551	0,660006746	0,256332763
707	1,4550	0,65940544	0,257672444
708	1,4550	0,658853896	0,258995847
709	1,4550	0,658171109	0,260433036
710	1,4549	0,657642806	0,261672282
711	1,4549	0,656952275	0,263053732
712	1,4549	0,656481602	0,264366256
713	1,4549	0,655741972	0,265620353
714	1,4549	0,65519511	0,266929439
715	1,4548	0,65453264	0,268301311
716	1,4548	0,653882353	0,269561806
717	1,4548	0,653342676	0,270897982
718	1,4548	0,652708164	0,272139167
719	1,4548	0,652006442	0,273421725
720	1,4547	0,651391313	0,274508697
721	1,4547	0,65078506	0,275821816
722	1,4547	0,650312186	0,277055643
723	1,4547	0,649546527	0,278332538
724	1,4547	0,649030252	0,279357582
725	1,4547	0,648369138	0,280624466
726	1,4546	0,647823591	0,281773447
727	1,4546	0,647141443	0,282948094
728	1,4546	0,64674157	0,284070252
729	1,4546	0,646160248	0,285177161
730	1,4546	0,645496948	0,286281461
731	1,4545	0,644842141	0,287505318
732	1,4545	0,644428336	0,288753138
733	1,4545	0,64378219	0,289773461
734	1,4545	0,643311841	0,290993427
735	1,4545	0,642740408	0,292227818
736	1,4544	0,642063231	0,293417905
737	1,4544	0,641473976	0,29454071
738	1,4544	0,640840841	0,295743153
739	1,4544	0,640537041	0,296799413
740	1,4544	0,639911998	0,297892588
741	1,4544	0,639205948	0,299034392
742	1,4543	0,638944286	0,300073768
743	1,4543	0,63816907	0,301189858
744	1,4543	0,637743837	0,30221332
745	1,4543	0,637078636	0,303199506
746	1,4543	0,636493746	0,304373603
747	1,4542	0,63611343	0,305469299
748	1,4542	0,635536715	0,306416648
749	1,4542	0,63498004	0,307480634
750	1,4542	0,634477575	0,308525295
751	1,4542	0,633972169	0,309533136
752	1,4542	0,633513756	0,310539452
753	1,4541	0,632937416	0,311513963
754	1,4541	0,632376792	0,312465311
755	1,4541	0,631806021	0,313549162
756	1,4541	0,631350448	0,314641082
757	1,4541	0,630695479	0,315638874
758	1,4540	0,630296626	0,316574299
759	1,4540	0,629490532	0,317490324
760	1,4540	0,629200888	0,31854461
761	1,4540	0,628865189	0,319598627
762	1,4540	0,628448482	0,320548687
763	1,4540	0,627966735	0,321481161
764	1,4539	0,627436223	0,322412346
765	1,4539	0,626942596	0,323370994
766	1,4539	0,626401748	0,324277645
767	1,4539	0,626013787	0,3251701
768	1,4539	0,625643135	0,326167578
769	1,4538	0,625149282	0,327070696
770	1,4538	0,624682892	0,327996631
771	1,4538	0,624061328	0,32896711
772	1,4538	0,623872714	0,329751244
773	1,4538	0,623353048	0,330689103
774	1,4538	0,622961596	0,331569294
775	1,4537	0,622550851	0,332545859
776	1,4537	0,622135023	0,333359948
777	1,4537	0,621697017	0,334326046
778	1,4537	0,621316451	0,335187765
779	1,4537	0,621093818	0,336014764
780	1,4536	0,620754883	0,336817781
781	1,4536	0,620370699	0,337737733
782	1,4536	0,619812524	0,338532994
783	1,4536	0,619358083	0,339343316
784	1,4536	0,618964972	0,340104774
785	1,4536	0,618515519	0,340903012
786	1,4535	0,61819481	0,341731666
787	1,4535	0,617643804	0,342607225
788	1,4535	0,617351106	0,343349008
789	1,4535	0,617012727	0,344173359
790	1,4535	0,616655222	0,344991056
791	1,4535	0,616261564	0,345732795
792	1,4534	0,615739329	0,346502527
793	1,4534	0,615363222	0,347222471
794	1,4534	0,614991942	0,34804792
795	1,4534	0,61463462	0,348850799
